"x0_1","x0_2","z0_1","z0_2","p_12","p_21","r","rinv","time_intervention","omega_1","omega_2","R0_1","R0_2","RC_1","RC_2","As","AsA1","AsA2","S","SA1","SA2","AIGR","AIGR_area1","AIGR_area2","AIGR_year","AIGR_year_area1","AIGR_year_area2","AIG","AIG_area1","AIG_area2","AIG_year","AIG_year_area1","AIG_year_area2"
0.457887212811447,0.383199470363792,1877.85205254133,1571.5483896942,0.153895482422668,0.127754084292089,0.0112359550561798,89,1.5,0.267323975842772,0.366982500940724,1.99176108927465,1.47450438110409,1.45931559596082,0.933387075678457,23760.1550027127,13421.8119370288,10338.3430656839,22922.3333115685,12978.2756442277,9944.05766734079,0.0365504540814521,0.0341752868377665,0.0396503531589617,0.00406116156460579,0.00379725409308517,0.00440559479544019,838,444,394,93,49,44
0.440877685065479,0.455949291477111,981.221677127439,1014.76519139723,0.122643991628871,0.345166280046641,0.00609756097560976,164,4,0.112741809870303,0.164596649615781,1.74576890173749,1.9185467883566,1.54894775614031,1.60276041486199,43710.8344849102,21576.6401887336,22134.1942961765,43450.2308403645,21452.2367315077,21997.9941088568,0.00599775051836096,0.00579909026657547,0.00619148212540434,0.000249906271598373,0.000241628761107311,0.000257978421891848,261,124,136,11,5,6
0.291215507336818,0.299609599391328,644.204001078417,662.772750168695,0.129302107014984,0.383764378472243,0.00606060606060606,165,2,0.141706774504797,0.329374683407904,1.38325023618578,1.47944323632316,1.18723430688289,0.992152088739254,11650.000431318,5871.00790055085,5778.99253076719,11272.3659283056,5687.99732546352,5584.36860284204,0.0335009088078154,0.0321748701020046,0.0348515547175919,0.00279174240065129,0.00268123917516705,0.00290429622646599,378,183,195,32,15,16
0.328702913268618,0.258878800972994,1395.07631794239,1098.72979482724,0.299814858747751,0.130973219723359,0.0116279069767442,86,2,0.387996177673899,0.136918910342257,1.77392644178846,1.14532636055366,1.08564976289988,0.98850952328039,19078.0814091659,10467.7404727384,8610.3409364275,18345.4921730456,10062.1835408949,8283.30863215073,0.0399329289838679,0.0403050620370113,0.0394808788130186,0.00332774408198899,0.00335875516975094,0.00329007323441822,733,406,327,61,34,27
0.380864703725739,0.349207447694925,1208.8314509556,1108.35407311868,0.293609729933611,0.261378849668219,0.00869565217391304,115,1.5,0.264472296158806,0.149807140758575,1.79147801631541,1.36913538532983,1.31768171182245,1.16402912794218,16659.4091003418,8639.78699266649,8019.62210767527,16435.0396929357,8523.36409983963,7911.67559309611,0.0136518932474782,0.013659265457058,0.0136439510580234,0.00151687702749758,0.00151769616189533,0.0015159945620026,224,116,108,25,13,12
0.44770827005921,0.445549455152343,1373.22284513959,1366.60127000509,0.297137820960034,0.362177513565356,0.00840336134453781,119,2,0.108183387343027,0.333264406933088,1.82736761522753,1.78401900918069,1.62967679669127,1.18946897212873,28103.9619568752,14302.2218145184,13801.7401423569,27753.3423453241,14120.2909331379,13633.0514121862,0.0126334193261667,0.0128843578536657,0.0123735123612847,0.00105278494384722,0.00107369648780547,0.00103112603010706,351,182,169,29,15,14
0.369528137070133,0.303510394328429,1466.0627177239,1204.14449923779,0.226067932963115,0.189416845993616,0.0108695652173913,92,3,0.386094836542953,0.35413931759625,1.80694036973558,1.2175000749537,1.10929002303966,0.786335429236213,28052.5791478485,15716.4649844187,12336.1141634298,25143.1939261427,14007.5118281381,11135.6820980046,0.115712635007789,0.122002620968533,0.107800497074207,0.00642847972265495,0.0067779233871407,0.00598891650412262,2909,1709,1200,162,95,67
0.348346253525183,0.379464028169781,1017.17106029353,1108.03496225576,0.357088357101229,0.341085988200468,0.008,125,3.5,0.377136591720395,0.334509927312389,1.23496070482222,1.89530815990639,0.769211833696951,1.26130876510153,28774.8160672771,13587.2524829438,15187.5635843334,26662.4678684622,12628.8109419078,14033.6569265544,0.0792255319063508,0.0758932527729449,0.0822242316324228,0.00377264437649289,0.00361396441775928,0.00391543960154394,2112,958,1154,101,46,55
0.304440232798165,0.383520996722295,1111.2068497133,1399.85163803638,0.0972419448879431,0.358571613434784,0.01,100,1.5,0.27121224387479,0.168870385319658,1.23802178222291,1.99306899062376,0.902255116700368,1.65649866220846,17781.6158571831,7573.12981560207,10208.4860415811,17436.9948577205,7429.43582166791,10007.5590360526,0.0197637839704941,0.0193411717098463,0.0200775238801584,0.00219597599672156,0.00214901907887181,0.00223083598668427,345,144,201,38,16,22
0.32654130922413,0.303915753106274,1295.51715072617,1205.75271612815,0.344870245396416,0.372736165566742,0.0108695652173913,92,2,0.253882002669747,0.0954913362495135,1.70830010861184,1.19542223628081,1.27459345587652,1.08126976955597,23151.5175753863,11928.0144262286,11223.5031491577,22890.2687077771,11792.0098051346,11098.2589026426,0.0114130974583276,0.0115336251700525,0.0112850355730428,0.000951091454860634,0.000961135430837706,0.000940419631086896,261,136,125,22,11,10
